year,total_fire_points,forest_fire_points,forest_fire_pct,forest_cover_pct
2000,1419,225,15.86,9.86
2001,18844,6007,31.88,9.95
2002,26939,4290,15.92,9.95
2003,56119,22348,39.82,9.97
2004,64757,28668,44.27,10.01
2005,63737,22270,34.94,10.0
2006,66195,27241,41.15,10.0
2007,75413,29008,38.47,10.01
2008,71025,23356,32.88,10.01
2009,90500,40155,44.37,10.01
2010,76894,31108,40.46,10.01
2011,72441,22513,31.08,10.02
2012,93536,35214,37.65,9.91
2013,71219,22245,31.23,10.02
2014,76638,23844,31.11,10.02
2015,68553,20258,29.55,10.02
2016,89354,28903,32.35,10.13
2017,82729,26462,31.99,10.17
2018,91342,29028,31.78,10.19
2019,75693,21158,27.95,10.27
2020,76149,16421,21.56,10.3
2021,111467,38116,34.19,10.33
2022,78503,22707,28.93,10.43
